student_id,question_id,knowledge,answer
450,111,13,0
476,104,31,0
1350,74,18,1
1277,16,81,0
1003,11,51,0
1014,32,10,1
761,79,35,1
59,68,81,1
905,66,44,1
1086,98,12,1
247,76,62,1
830,36,62,0
1379,56,64,0
582,100,81,1
1348,23,50,0
861,50,77,1
452,119,73,0
996,115,32,1
886,21,13,0
480,64,37,1
968,40,4,1
217,109,45,0
985,9,79,1
1323,119,11,1
1358,87,8,0
1335,14,24,0
86,71,2,0
575,58,36,1
86,18,81,1
126,110,71,0
172,77,37,1
903,54,15,0
948,83,88,1
276,49,67,1
1373,58,43,1
228,23,64,0
871,95,8,1
169,118,62,1
756,58,49,1
727,3,23,1
1114,114,16,1
352,85,78,1
348,117,62,0
69,112,80,0
674,64,61,1
144,49,4,0
844,78,10,1
35,95,15,0
493,17,69,1
757,10,19,1
427,66,20,1
567,90,48,1
378,104,24,1
436,98,39,0
1057,79,52,1
83,55,25,0
350,86,55,1
186,61,33,0
1291,47,57,0
295,98,64,1
542,29,14,1
478,67,67,0
413,77,22,0
1134,92,61,1
775,11,70,0
798,74,8,0
1151,5,79,0
627,26,83,0
1341,47,13,0
745,93,90,0
307,106,76,0
982,107,53,1
1040,67,58,1
531,118,46,1
1305,35,50,1
668,37,52,0
688,23,32,0
345,80,66,0
836,100,35,1
24,26,80,0
1345,46,35,1
668,68,15,1
796,17,11,0
1349,93,29,1
312,54,48,1
934,72,51,1
1092,44,5,0
535,96,77,0
1271,42,8,1
868,105,72,1
152,48,19,0
972,44,67,1
193,108,3,1
1119,109,35,0
810,1,22,0
1244,34,33,0
1256,67,36,0
586,13,72,0
796,76,82,1
571,46,48,0
677,110,74,0
467,88,44,1
941,87,11,1
942,50,55,1
550,106,21,0
73,5,72,0
683,106,44,0
1182,27,81,0
588,101,72,1
645,60,49,1
1349,7,62,1
106,77,84,0
244,53,58,1
428,12,67,1
1195,89,68,0
39,25,87,0
1357,101,10,1
595,85,25,1
1132,3,4,0
1143,50,47,0
513,44,80,0
676,33,44,0
992,101,21,0
235,37,14,1
435,118,50,1
371,90,44,1
1081,46,47,1
325,18,39,0
818,45,28,0
309,71,90,0
903,87,76,0
498,74,31,1
725,63,55,0
41,7,90,1
148,91,14,1
1343,11,9,0
1106,103,5,0
292,86,48,0
112,101,30,1
1161,116,45,1
739,67,18,0
1161,81,27,0
179,30,80,0
268,120,15,1
1382,102,2,1
308,61,3,1
186,79,75,1
558,45,48,1
989,26,24,0
1356,98,79,1
527,20,59,1
1330,72,89,0
565,8,4,0
69,63,22,1
549,47,88,1
780,93,8,1
886,62,79,1
486,110,35,0
632,98,32,1
1363,98,25,1
823,56,76,1
1027,6,53,1
258,69,83,1
1264,43,38,1
588,109,49,0
208,39,4,1
472,13,17,0
1191,72,26,1
1243,34,33,1
716,88,41,0
1395,12,87,1
577,22,47,1
705,109,58,0
429,42,64,0
88,52,41,0
288,78,2,1
791,20,62,0
225,105,42,0
1353,30,50,0
1234,111,20,0
907,89,57,1
1020,63,41,0
1397,86,84,1
783,85,32,0
558,108,84,0
15,97,78,1
439,15,22,1
453,43,19,0
930,88,15,0
660,12,13,1
666,41,22,0
1338,28,81,1
644,15,27,1
1184,99,51,1
1130,84,32,1
1262,18,38,1
1177,98,82,1
714,26,7,0
1262,17,47,0
263,49,89,1
1267,109,56,1
556,52,28,1
1386,64,16,0
34,20,1,0
100,91,31,0
1143,33,23,1
670,92,5,1
598,110,90,0
56,119,26,1
458,90,88,0
325,2,63,1
290,82,65,0
640,76,30,1
1057,84,45,1
505,72,56,0
883,69,32,1
1177,56,80,1
1367,28,10,0
1113,58,87,0
730,58,16,0
428,48,77,0
777,109,69,0
1287,118,62,0
872,98,13,1
248,19,68,0
199,29,45,0
462,73,15,1
455,14,79,0
1068,114,78,1
50,104,9,1
207,83,75,0
753,78,15,0
883,48,9,0
724,115,61,0
1338,31,13,1
383,42,12,1
467,2,39,0
432,95,71,1
346,96,18,0
267,9,21,1
538,40,80,1
657,113,80,1
614,20,35,1
1211,29,3,1
39,24,33,0
1020,101,80,0
800,79,36,0
354,32,8,1
1047,6,75,1
858,6,4,0
232,64,56,0
1396,56,10,0
1121,33,4,1
594,78,51,0
483,52,59,1
44,95,9,0
677,70,18,0
1374,9,18,1
462,54,65,0
238,44,72,1
359,91,30,0
1383,116,31,0
1303,6,28,1
1296,17,27,0
524,102,73,0
519,118,16,0
936,73,33,0
124,71,35,1
712,15,22,1
199,84,52,1
1301,16,27,0
980,79,80,0
341,94,67,1
1164,65,44,0
440,44,25,1
441,52,39,1
612,29,81,1
45,108,11,0
594,101,74,1
297,52,29,1
1280,22,32,1
700,23,17,0
430,65,80,1
80,83,71,0
1166,118,83,1
543,18,48,0
178,89,59,1
591,38,69,0
189,49,32,0
548,61,13,0
21,14,11,0
451,65,46,1
517,32,79,0
967,29,53,1
680,81,58,1
1247,118,59,1
238,58,54,1
901,42,19,0
869,4,52,0
292,105,72,0
712,59,87,0
732,5,70,1
204,46,56,1
907,19,12,0
670,44,20,1
101,51,15,0
1170,15,66,0
356,81,84,1
456,36,12,1
1323,77,12,1
1159,107,19,0
1146,118,62,0
604,8,53,0
175,41,75,1
420,25,66,1
186,36,85,0
263,80,3,1
934,65,80,1
1345,40,47,1
1026,120,32,0
762,17,1,0
500,102,55,1
187,91,31,0
28,85,39,0
845,29,55,1
684,66,60,1
351,43,55,1
70,105,47,0
847,84,54,0
132,54,49,1
1070,45,35,0
585,42,43,1
464,70,68,1
316,6,3,1
1219,102,90,1
532,3,56,1
748,100,49,1
1113,53,46,1
904,44,30,0
1187,119,7,0
624,26,49,1
1261,77,46,1
743,105,19,0
1102,116,38,1
36,71,18,1
165,56,73,0
1039,25,39,1
1190,1,9,0
315,56,4,1
1067,37,9,1
47,45,55,1
424,13,16,1
2,76,30,1
837,109,59,1
1077,62,46,1
983,79,57,0
836,67,82,1
1144,14,80,0
1026,49,23,1
1390,90,60,0
1217,3,82,0
86,42,53,1
603,30,30,1
1022,112,2,0
835,104,39,0
1079,61,61,0
937,25,23,1
1296,59,53,0
578,80,50,0
312,49,68,1
1335,79,65,1
1273,22,28,1
156,61,39,1
573,86,27,1
676,58,7,1
779,73,75,0
253,106,44,1
82,114,86,1
111,13,69,0
240,91,87,0
892,19,3,0
219,63,9,1
607,24,71,1
121,114,53,1
486,27,83,1
1305,34,52,1
707,71,49,0
1149,31,61,0
75,1,89,1
1046,83,79,1
714,95,54,0
968,20,29,0
1398,42,9,0
163,64,22,0
1126,29,45,1
390,1,56,0
851,45,49,0
931,33,48,0
524,3,51,0
261,8,11,1
98,93,70,1
985,83,23,0
632,7,1,0
56,91,13,0
1342,38,23,1
326,35,15,0
106,53,64,1
468,119,34,1
473,35,41,0
1120,74,18,0
315,116,68,0
563,81,63,1
756,86,76,0
248,66,47,1
564,22,63,0
833,46,64,1
1316,42,2,0
242,80,71,0
1069,53,23,0
246,29,43,1
87,41,83,1
930,11,65,1
511,37,5,1
513,23,56,1
452,44,73,0
1001,19,76,0
1173,37,41,1
473,77,76,1
1101,102,10,1
1206,65,89,0
1061,80,35,1
1374,46,22,0
1003,47,33,0
1054,102,62,1
14,84,41,1
774,11,48,1
450,28,4,1
1284,27,3,0
1219,20,78,1
1375,27,85,0
483,103,42,1
608,26,76,1
1271,26,86,1
1288,29,14,1
297,111,65,0
1315,13,77,1
427,67,11,0
937,45,52,0
522,87,30,1
348,105,77,0
1211,100,85,1
872,91,30,0
1212,88,21,1
659,65,58,0
871,77,48,0
1355,59,61,0
31,36,71,0
864,13,61,0
974,59,26,0
1155,68,77,0
1392,82,24,1
142,94,52,1
137,23,73,1
340,97,49,1
233,28,75,0
527,82,69,1
727,31,59,1
1112,22,3,0
570,16,20,0
980,1,24,1
86,76,71,0
359,3,73,0
773,6,73,0
855,74,86,1
1295,45,69,1
956,14,82,0
1179,32,77,0
287,60,68,0
369,59,26,1
1369,22,18,0
569,20,19,1
540,118,44,1
1203,3,3,1
1169,26,5,1
1198,56,64,1
459,21,16,0
169,65,47,1
545,14,78,1
1037,2,55,1
535,107,86,1
210,87,85,1
310,4,58,1
1287,110,58,0
324,110,67,0
184,108,63,1
577,120,87,0
747,31,24,0
344,114,63,1
715,41,39,1
281,14,49,0
860,113,30,1
805,78,20,0
208,56,5,1
1062,29,21,0
167,16,26,1
72,90,90,1
1133,74,69,1
391,15,46,1
595,23,28,0
377,111,32,1
1048,12,69,1
458,60,61,1
525,22,30,1
1351,14,49,0
1261,36,7,0
997,65,40,1
347,110,16,1
540,81,73,0
189,83,49,1
1190,22,58,1
1377,13,75,0
439,89,15,1
324,103,62,1
1119,11,26,1
591,89,74,0
277,4,59,0
334,58,72,1
381,81,16,1
782,43,8,0
1189,104,71,0
1272,24,31,1
382,26,15,1
303,15,15,0
714,48,20,0
28,60,17,0
1135,19,7,0
1364,8,65,1
1185,111,54,0
868,94,6,0
1049,16,80,1
896,91,90,0
1099,42,63,0
448,23,16,1
1018,3,40,1
29,58,6,0
190,54,72,1
625,89,49,0
5,13,86,0
1048,22,42,1
361,85,61,1
1096,70,12,1
704,116,11,0
1167,35,65,0
1194,67,12,0
845,119,80,0
340,69,89,1
601,10,69,1
717,10,89,1
439,92,60,1
413,12,35,0
284,34,15,0
1229,53,50,0
132,50,8,0
826,40,90,0
523,115,87,1
301,19,58,1
312,26,88,1
1073,76,66,1
1366,101,55,0
250,32,70,1
1384,100,24,1
538,48,26,1
714,52,88,0
873,80,84,0
59,7,52,1
876,51,6,0
492,65,50,0
438,55,34,0
1390,76,83,0
1023,24,22,0
641,49,46,1
510,48,52,0
241,109,29,1
238,35,88,1
155,55,48,1
418,60,35,0
438,37,81,1
1236,35,26,1
951,30,52,1
1157,7,28,0
1352,59,26,0
777,40,18,1
669,116,39,1
445,24,88,1
886,45,64,1
485,54,17,1
253,60,58,1
401,75,66,1
979,103,34,1
873,70,81,0
478,76,22,0
355,67,87,1
226,87,66,0
43,23,39,0
557,111,37,1
600,101,43,0
1015,18,11,0
151,57,69,0
421,27,20,0
100,86,68,0
48,99,64,1
778,35,25,0
1214,19,54,0
382,97,18,0
1278,113,65,1
798,70,62,1
178,18,20,1
1174,101,72,1
927,81,82,1
682,50,12,0
396,84,59,0
600,54,81,1
716,112,6,0
1027,14,75,1
330,24,88,0
686,97,35,1
805,44,7,1
73,57,12,0
1113,53,65,1
890,88,61,0
488,27,75,1
119,50,68,0
1029,82,55,1
717,35,86,1
23,63,69,1
1159,62,20,0
75,52,7,0
43,44,65,0
569,3,56,1
1353,87,89,1
1153,53,79,0
882,35,78,1
1187,78,76,0
516,28,62,0
261,4,25,1
1331,20,60,0
197,111,33,1
155,64,75,1
259,17,53,0
633,70,36,0
771,63,19,1
11,21,64,1
1150,47,7,1
1294,47,18,0
1114,82,75,1
474,51,84,1
799,48,33,0
1313,19,11,0
752,4,3,0
304,100,52,0
73,48,85,0
254,91,44,1
841,3,12,1
323,77,66,0
402,57,3,1
456,40,75,1
792,83,61,0
702,83,24,0
1249,58,17,1
1181,114,50,0
1001,16,89,1
381,37,77,1
1204,106,86,0
555,63,7,1
1331,89,67,0
373,86,1,1
196,104,16,0
1336,24,7,0
587,45,51,1
1366,62,28,1
805,94,53,1
788,4,12,0
1200,38,42,1
1021,95,32,0
577,94,56,0
785,7,65,1
994,54,82,1
890,74,34,1
1024,54,38,1
1103,86,11,0
1219,40,72,0
1330,6,50,1
959,71,78,1
70,79,69,0
936,45,44,1
361,103,59,0
1327,18,63,1
537,18,34,1
854,98,74,1
165,109,15,0
233,61,90,0
471,1,60,0
1022,6,16,1
644,60,37,0
898,20,16,1
678,8,53,0
695,68,83,0
767,22,2,0
560,107,71,0
461,7,22,1
59,107,27,1
1230,31,51,1
737,31,13,0
1129,43,74,0
1115,58,44,1
368,70,13,0
514,21,58,0
1321,54,23,1
555,42,34,1
1180,88,84,1
1216,61,64,1
55,25,5,0
491,86,43,0
43,26,3,0
5,7,34,1
922,84,36,0
628,113,8,0
1033,97,58,1
1168,43,40,1
919,61,85,1
998,117,59,1
2,42,20,0
677,38,22,1
1047,46,56,0
1004,76,16,0
199,9,74,1
147,61,64,0
177,6,70,1
935,30,28,1
404,6,56,1
844,76,45,0
315,118,86,1
1311,9,40,0
1107,30,73,0
101,99,82,1
608,67,10,0
340,34,57,1
303,111,10,0
537,57,53,1
1043,25,20,0
461,93,73,0
158,84,11,0
768,105,82,1
1361,2,88,1
1117,50,78,1
1104,104,82,1
878,81,62,0
704,108,75,0
577,11,34,0
13,106,67,1
592,20,31,0
495,6,9,1
1160,81,72,0
378,33,78,0
1234,110,54,0
268,7,72,1
252,113,22,0
688,59,82,0
1013,61,16,0
739,31,17,0
476,66,65,1
122,85,83,1
400,22,39,1
97,50,13,0
615,45,83,1
175,63,56,1
58,91,27,0
599,66,77,0
1037,75,1,0
1321,44,7,1
1182,46,16,0
741,63,18,0
313,108,57,1
28,108,3,0
1270,108,47,0
447,58,32,0
466,30,55,0
778,101,9,1
141,48,68,1
356,40,36,1
1246,112,64,0
175,117,55,0
238,41,88,1
466,48,71,1
1040,65,49,1
1361,60,52,0
341,2,57,0
844,90,10,1
142,112,42,1
559,36,8,0
896,27,3,1
1397,44,26,0
39,76,6,1
480,72,73,1
1052,22,80,0
1190,27,75,0
1186,5,72,0
699,17,82,0
928,108,5,1
784,52,27,1
757,44,13,0
1189,48,30,0
1090,9,76,0
619,40,2,1
151,116,35,0
945,20,48,0
1325,4,27,1
6,86,84,0
592,64,11,0
581,118,26,0
608,105,61,0
1361,40,17,1
477,43,55,0
859,44,51,0
1347,6,79,1
1066,65,13,0
1086,38,18,0
257,85,60,0
155,51,76,0
10,77,78,0
534,111,28,1
761,104,87,0
812,105,20,0
337,58,49,1
795,104,22,1
633,30,84,0
595,64,81,0
246,66,50,0
1125,29,44,1
881,46,34,0
961,107,75,1
129,39,19,1
945,56,18,0
837,78,43,1
1229,87,9,1
1151,105,9,1
1257,112,70,1
672,117,76,0
1209,33,14,1
1175,119,47,1
250,45,77,0
1240,60,1,0
130,21,11,0
342,83,7,0
996,40,87,0
398,71,90,0
930,80,7,0
1021,67,78,0
207,28,72,0
237,13,54,0
588,25,1,0
220,111,50,0
1361,69,35,1
1163,86,14,0
31,12,51,1
179,70,34,0
173,74,65,1
738,31,1,1
1057,114,87,1
593,39,7,1
1379,71,19,1
1301,113,6,1
936,107,61,1
318,85,31,1
487,52,45,0
298,97,67,1
2,100,26,0
1202,120,8,0
909,7,59,0
1003,103,1,0
78,14,66,0
1230,30,62,1
1037,18,34,0
945,1,33,1
362,41,71,1
670,26,57,1
148,29,64,1
728,22,69,0
255,82,33,0
940,110,43,1
141,70,74,0
409,85,48,0
155,105,51,0
501,59,44,0
572,53,45,1
571,92,60,0
434,27,37,1
813,55,61,1
1057,80,65,0
674,16,31,0
1227,18,53,0
1365,110,88,0
376,33,46,0
695,8,48,0
1101,82,64,1
2,10,64,1
369,92,22,0
832,58,45,1
601,101,4,1
1213,94,70,0
1062,88,10,1
588,78,73,0
1297,114,64,0
755,107,85,0
455,103,83,0
188,75,44,1
980,82,9,0
1203,59,25,1
819,45,53,1
185,88,9,1
337,48,43,0
1320,29,86,0
1161,42,2,1
442,5,43,0
1230,57,29,1
1214,57,39,0
1233,11,57,1
117,58,3,0
1301,41,16,1
371,27,82,1
1291,32,55,0
524,112,76,0
900,80,4,1
945,17,22,1
1307,1,27,1
258,73,83,0
180,31,31,0
1155,10,49,1
700,118,38,1
5,53,59,0
1126,89,29,1
557,85,66,0
606,89,54,0
1391,8,90,0
539,77,20,0
948,24,24,0
639,111,23,0
55,6,13,1
752,86,29,1
623,46,10,0
529,9,16,1
729,91,45,0
161,66,50,1
538,68,59,1
770,70,90,1
1350,13,4,1
277,78,82,0
601,58,37,0
166,11,39,0
231,7,3,1
81,31,59,1
1088,59,90,0
960,45,79,0
418,41,64,0
597,98,41,1
762,54,42,1
609,79,9,1
1391,105,21,1
1102,120,82,1
992,1,28,1
1326,51,79,0
248,18,76,1
1157,51,78,1
1263,3,50,0
1080,3,20,0
696,43,3,0
1187,85,19,0
114,69,79,1
7,18,7,0
276,39,86,0
812,106,72,0
494,100,40,1
938,109,36,1
24,52,35,0
185,75,76,0
416,51,34,0
390,30,44,0
748,6,21,0
786,51,27,1
78,100,78,1
165,63,25,1
1068,31,83,1
1195,1,89,0
28,119,35,1
1136,99,51,0
1314,35,40,1
1084,46,16,1
1223,67,74,0
884,41,59,1
822,69,51,0
356,32,51,0
451,58,42,1
289,24,55,1
67,32,69,1
1222,32,54,1
1000,44,8,0
1015,97,72,0
372,59,36,0
751,43,80,0
581,12,16,0
940,78,89,1
1060,110,51,0
1068,23,48,0
700,48,33,1
601,4,14,0
1323,100,17,1
1294,112,25,1
1177,38,41,0
504,34,56,0
869,89,49,1
669,2,87,0
515,111,30,1
1060,115,46,1
577,89,90,1
757,30,71,1
1400,99,45,0
356,7,16,0
912,70,71,1
1392,77,36,1
299,64,86,0
31,17,59,0
1365,52,16,1
174,9,71,1
775,14,58,1
188,95,88,0
961,72,30,1
326,64,18,0
95,86,3,0
404,63,89,1
600,12,90,1
53,76,43,1
1269,8,50,0
886,108,18,0
965,119,52,1
143,6,78,0
1339,103,7,0
810,39,47,1
615,20,26,0
436,92,42,0
270,79,3,1
687,103,66,1
628,61,23,0
855,105,81,0
1273,23,47,0
477,95,66,1
962,63,46,1
1389,19,27,0
1382,79,2,0
704,9,17,1
83,80,58,1
232,6,85,0
175,77,44,0
75,78,78,1
467,92,87,0
432,104,90,0
360,42,55,0
1084,4,14,0
1001,69,82,1
1002,23,86,1
843,62,20,0
693,17,50,1
531,88,81,0
735,62,19,0
961,46,14,1
927,45,78,0
330,115,10,0
878,79,38,1
498,8,88,1
439,25,40,0
564,18,62,0
138,72,28,1
823,54,48,0
1017,65,48,1
93,50,27,0
1056,24,64,1
834,86,19,0
372,53,74,0
1221,76,18,1
83,1,19,0
810,111,10,0
1209,14,5,1
427,50,63,0
166,53,29,1
946,97,4,0
419,90,19,1
1198,75,82,0
1275,113,82,0
757,7,11,0
621,92,8,0
237,23,31,1
1337,5,48,0
1095,7,2,0
806,89,28,0
1285,88,50,1
1114,30,72,1
63,90,60,0
1334,85,78,0
589,111,62,0
1095,56,2,1
139,111,31,1
445,15,42,1
1073,22,87,1
37,20,35,0
824,35,78,1
926,41,60,1
140,59,18,0
529,68,81,0
815,56,45,1
1089,113,81,0
169,4,52,1
947,79,17,1
821,116,4,0
988,61,28,1
1,24,51,1
393,64,34,0
1230,87,82,1
1045,75,35,1
371,81,37,0
557,104,7,1
168,35,43,0
1380,113,86,1
780,26,44,1
881,86,50,1
1195,38,3,1
658,115,65,0
1384,30,82,1
719,38,58,0
780,16,89,1
514,65,77,0
126,2,72,1
902,5,17,1
824,43,68,1
183,80,70,1
1260,78,41,0
741,25,83,0
946,61,2,1
1056,20,49,0
766,51,43,1
930,13,50,1
118,118,14,0
342,60,49,0
320,38,17,0
1126,115,36,0
318,3,86,0
1351,31,89,1
614,65,57,0
237,52,29,1
993,89,69,1
957,73,11,0
437,76,73,0
712,97,74,1
1142,83,56,0
1228,28,34,1
1230,94,1,1
104,4,55,0
522,31,29,0
239,103,18,1
196,91,25,1
257,88,24,0
854,3,2,0
683,83,48,0
306,21,71,0
1013,105,75,1
926,113,53,0
298,78,40,0
837,56,11,1
275,66,90,0
431,21,61,1
1400,68,6,1
161,43,51,1
498,25,60,1
1340,120,6,0
376,47,74,1
1212,59,59,0
183,76,46,1
949,65,42,0
696,104,30,0
114,92,88,1
744,56,88,0
324,101,63,0
92,54,55,0
118,91,1,1
309,75,90,1
512,74,1,0
883,118,6,1
1334,27,2,1
481,89,71,0
790,33,23,1
162,29,65,1
1315,73,88,0
1121,99,73,1
1231,49,61,0
1068,77,7,1
1112,29,9,1
350,109,33,1
474,119,17,1
537,7,59,1
787,50,56,1
78,103,29,1
1218,89,51,0
478,72,88,1
19,5,46,0
362,22,9,0
1258,109,55,0
567,1,33,0
556,60,9,1
32,32,49,1
967,74,69,0
1178,82,80,1
198,60,35,1
302,112,35,0
289,89,76,1
866,94,47,1
122,6,37,0
981,114,25,1
1305,11,2,1
1304,59,78,0
134,32,10,1
845,40,50,1
1126,120,18,1
674,61,81,0
755,114,84,1
864,29,26,0
702,18,40,1
401,104,11,1
1233,58,53,0
338,82,28,1
821,76,44,1
538,64,62,0
645,27,55,1
67,36,79,0
1191,50,43,1
738,20,37,1
761,53,3,1
261,75,70,0
616,59,35,1
1125,17,67,0
185,42,20,1
294,35,23,0
997,32,82,0
202,64,62,1
1339,73,12,0
1333,109,65,0
105,59,19,1
155,65,73,0
962,76,37,1
1179,15,58,0
1020,84,18,1
913,11,43,1
774,118,74,0
267,120,34,1
664,4,1,1
76,12,1,0
794,40,29,0
122,55,70,1
1129,20,16,1
307,105,89,0
126,21,52,1
829,76,10,0
1151,76,7,1
59,113,67,1
938,23,82,1
31,108,56,0
85,19,79,1
754,22,78,1
851,30,1,1
1312,61,36,0
493,94,87,0
55,88,19,1
923,28,8,1
1003,75,66,1
362,5,16,0
112,28,63,0
57,13,5,0
1268,8,16,0
1376,112,3,1
1117,60,18,0
997,48,4,0
1357,36,29,1
802,52,44,0
283,61,56,0
129,112,69,1
808,112,42,0
717,28,54,1
255,61,82,0
184,109,66,1
745,102,86,1
612,81,20,0
458,2,56,0
491,117,38,0
524,116,28,1
1337,13,84,0
8,116,70,0
1332,25,72,1
1314,88,77,0
598,29,44,1
1204,35,74,1
213,29,89,1
861,92,78,0
244,110,64,0
685,39,46,0
558,103,48,1
737,61,67,1
1082,85,28,1
717,50,66,0
503,28,78,1
326,14,7,1
440,45,57,1
336,3,71,0
141,103,51,0
137,2,77,1
411,73,44,1
443,111,61,0
472,90,38,1
715,97,65,1
1220,34,49,1
523,77,43,0
230,4,21,0
505,45,87,1
1386,9,83,1
1000,82,15,0
428,46,54,0
388,114,66,0
916,43,55,1
421,80,13,0
1078,81,35,1
659,61,77,0
234,59,59,1
303,24,75,0
847,60,11,1
322,26,51,0
927,92,26,1
338,4,28,0
1051,75,87,1
1381,26,1,1
51,9,8,0
557,91,14,1
839,119,76,0
117,104,68,0
23,47,50,1
1265,68,54,1
1052,16,65,0
229,100,37,0
1167,21,84,1
448,92,21,0
742,50,5,0
336,98,5,0
629,78,62,1
305,74,49,0
502,108,48,1
39,71,52,1
39,77,84,0
835,92,43,1
953,118,35,1
100,116,22,0
109,109,13,1
1241,120,68,1
315,116,82,1
1299,88,13,0
836,29,50,1
1109,90,32,1
1040,80,19,1
705,66,69,1
1375,3,57,0
1296,75,90,0
597,69,35,0
1296,57,33,1
1362,71,46,1
34,57,71,1
1185,30,21,1
139,5,46,0
697,66,46,0
79,54,44,1
1347,19,54,0
1245,78,86,0
634,73,70,0
721,65,75,0
1042,37,47,0
1098,1,30,1
1289,40,38,1
436,114,38,0
1061,87,3,1
153,20,36,1
1125,31,57,1
664,79,63,0
1191,25,82,0
429,117,63,0
964,52,58,1
216,102,10,0
166,90,33,0
156,39,13,1
596,103,59,0
670,72,14,1
1396,85,68,0
1155,39,49,0
1186,88,15,1
492,91,24,0
482,78,3,1
402,17,6,1
424,43,75,1
444,37,39,1
1288,66,67,1
77,87,90,1
983,75,67,1
819,112,60,0
284,116,34,0
1357,115,73,0
811,47,62,1
355,96,71,1
511,85,80,0
523,64,33,0
1352,1,89,0
56,119,6,1
960,115,71,0
886,98,15,0
868,81,67,1
437,2,4,0
222,87,19,1
1272,112,22,1
921,74,47,1
280,74,89,1
787,42,30,0
647,48,6,1
859,59,85,0
95,52,25,1
1260,39,86,1
1003,35,30,1
1273,105,52,0
1304,24,48,1
1115,105,62,0
457,108,14,1
708,94,73,1
707,18,31,1
440,58,63,0
9,51,7,0
1005,21,33,1
833,110,56,0
781,34,55,0
1230,92,87,0
813,20,16,1
973,58,34,1
1034,77,29,1
526,110,47,1
126,15,10,0
965,88,6,0
944,117,4,1
89,61,81,0
